annee_numero_de_tirage;jour_de_tirage;date_de_tirage;num�ro_de_tirage_dans_le_cycle;date_de_forclusion;boule_1;boule_2;boule_3;boule_4;boule_5;etoile_1;etoile_2;boules_gagnantes_en_ordre_croissant;etoiles_gagnantes_en_ordre_croissant;nombre_de_gagnant_au_rang1_Euro_Millions_en_france;nombre_de_gagnant_au_rang1_Euro_Millions_en_europe;rapport_du_rang1_Euro_Millions;nombre_de_gagnant_au_rang2_Euro_Millions_en_france;nombre_de_gagnant_au_rang2_Euro_Millions_en_europe;rapport_du_rang2_Euro_Millions;nombre_de_gagnant_au_rang3_Euro_Millions_en_france;nombre_de_gagnant_au_rang3_Euro_Millions_en_europe;rapport_du_rang3_Euro_Millions;nombre_de_gagnant_au_rang4_Euro_Millions_en_france;nombre_de_gagnant_au_rang4_Euro_Millions_en_europe;rapport_du_rang4_Euro_Millions;nombre_de_gagnant_au_rang5_Euro_Millions_en_france;nombre_de_gagnant_au_rang5_Euro_Millions_en_europe;rapport_du_rang5_Euro_Millions;nombre_de_gagnant_au_rang6_Euro_Millions_en_france;nombre_de_gagnant_au_rang6_Euro_Millions_en_europe;rapport_du_rang6_Euro_Millions;nombre_de_gagnant_au_rang7_Euro_Millions_en_france;nombre_de_gagnant_au_rang7_Euro_Millions_en_europe;rapport_du_rang7_Euro_Millions;nombre_de_gagnant_au_rang8_Euro_Millions_en_france;nombre_de_gagnant_au_rang8_Euro_Millions_en_europe;rapport_du_rang8_Euro_Millions;nombre_de_gagnant_au_rang9_Euro_Millions_en_france;nombre_de_gagnant_au_rang9_Euro_Millions_en_europe;rapport_du_rang9_Euro_Millions;nombre_de_gagnant_au_rang10_Euro_Millions_en_france;nombre_de_gagnant_au_rang10_Euro_Millions_en_europe;rapport_du_rang10_Euro_Millions;nombre_de_gagnant_au_rang11_Euro_Millions_en_france;nombre_de_gagnant_au_rang11_Euro_Millions_en_europe;rapport_du_rang11_Euro_Millions;nombre_de_gagnant_au_rang12_Euro_Millions_en_france;nombre_de_gagnant_au_rang12_Euro_Millions_en_europe;rapport_du_rang12_Euro_Millions;nombre_de_gagnant_au_rang13_Euro_Millions_en_france;nombre_de_gagnant_au_rang13_Euro_Millions_en_europe;rapport_du_rang13_Euro_Millions;nombre_de_gagnant_au_rang1_Etoile+;rapport_du_rang1_Etoile+;nombre_de_gagnant_au_rang2_Etoile+;rapport_du_rang2_Etoile+;nombre_de_gagnant_au_rang3_Etoile+;rapport_du_rang3_Etoile+;nombre_de_gagnant_au_rang4_Etoile+;rapport_du_rang4_Etoile+;nombre_de_gagnant_au_rang5_Etoile+;rapport_du_rang5_Etoile+;nombre_de_gagnant_au_rang6_Etoile+;rapport_du_rang6_Etoile+;nombre_de_gagnant_au_rang7_Etoile+;rapport_du_rang7_Etoile+;nombre_de_gagnant_au_rang8_Etoile+;rapport_du_rang8_Etoile+;nombre_de_gagnant_au_rang9_Etoile+;rapport_du_rang9_Etoile+;nombre_de_gagnant_au_rang10_Etoile+;rapport_du_rang10_Etoile+;numero_My_Million;numero_Tirage_Exceptionnel_Euro_Million
20244006;VENDREDI;19/01/2024;1;20/03/2024;50;27;28;48;44;7;12;-27-28-44-48-50-;-7-12-;0;0;17000000;2;0;215402,7;3;0;30205,9;4;0;1742,2;93;0;168,2;245;0;75,5;213;0;52,4;3796;0;17,8;5215;0;13,5;11314;0;11,2;20856;0;8,2;87987;0;6,1;194364;0;4,3;2;691,4;1;1106,3;45;30,7;130;10,6;1919;1,8;2609;3,5;10760;4;18046;11,1;42691;2,6;424081;2,3;QE 911 6397;
20244005;MARDI   ;16/01/2024;7;17/03/2024;18;21;33;45;10;12;8;-10-18-21-33-45-;-8-12-;1;1;87952574;1;3;201336,7;3;22;6416,6;3;30;1465,6;195;858;94,4;255;1203;71,1;444;2054;29,2;3473;16758;17,9;6400;30461;11;16444;76506;8,1;17759;87790;8,6;85432;410612;5,8;222344;1035293;3,7;0;0;0;0;83;41,2;130;9,4;1664;1,8;2922;2,8;8645;4,4;13958;12,7;39974;2,5;328733;2,7;CU 208 5890;
20244004;VENDREDI;12/01/2024;6;13/03/2024;18;16;17;49;45;9;12;-16-17-18-45-49-;-9-12-;0;0;0;1;0;281236,6;2;0;19718,8;11;0;1498;113;0;167,8;220;0;83,4;261;0;49,9;4109;0;18,3;5882;0;14,1;14725;0;11;22153;0;8,4;96983;0;6,2;243520;0;4,1;1;1568,6;7;179,2;53;29,5;114;13,7;2071;1,8;2814;3,7;11446;4,3;18344;12,4;46653;2,7;427062;2,6;RT 208 4085;
20244003;MARDI   ;09/01/2024;5;10/03/2024;12;9;2;39;40;3;1;-2-9-12-39-40-;-1-3-;0;0;0;0;1;563511,3;2;7;18814,5;1;19;2159;114;572;132,1;273;1256;63,6;289;1323;42,4;4040;19412;14,4;6042;27088;11,5;13125;60687;9,6;21005;100262;7;89360;407111;5,4;196450;904413;3,9;0;0;1;2091,8;58;20;109;10,6;1892;1,5;2837;2,7;9622;3,8;15703;10,8;41373;2,3;339112;2,4;LN 958 0675;
20244002;VENDREDI;05/01/2024;4;06/03/2024;18;4;39;7;50;8;3;-4-7-18-39-50-;-3-8-;0;0;0;0;2;359048,5;1;7;23975,8;11;59;886;148;749;128,5;395;2001;50,8;322;1713;41,7;6457;32990;10,8;7715;35938;11,1;17076;77956;9,5;34807;166715;5,3;117380;538106;5,2;249222;1133782;4;0;0;4;697,5;62;25;183;8,4;2934;1,3;3543;2,9;15613;3,1;26334;8,5;54128;2,3;474691;2,3;SA 454 2143;
20244001;MARDI   ;02/01/2024;3;03/03/2024;7;18;49;46;15;12;10;-7-15-18-46-49-;-10-12-;0;0;0;0;0;0;0;5;123090,6;2;6;6052,5;76;404;165,5;189;822;86;260;1142;43,5;2778;12774;19,4;4279;19434;14,2;12185;54361;9,4;14682;67547;9,2;65124;286826;6,8;192236;841787;3,7;0;0;1;1968,4;37;29,5;100;10,9;1372;1,9;2132;3,4;7238;4,7;11950;13,3;32149;2,8;272968;2,9;VM 156 4461;
20233104;VENDREDI;29/12/2023;2;28/02/2024;2;36;19;37;3;9;6;-2-3-19-36-37-;-6-9-;0;0;0;0;3;235723,3;1;5;33055,4;14;38;1354,7;116;622;152,4;328;1684;59,5;237;1301;54,1;5646;27202;12,9;6200;30489;12,8;13341;66465;11;32787;150297;5,8;108250;494759;5,6;229767;1068091;4,2;0;0;8;344,7;62;24,7;161;9,5;2696;1,4;2978;3,4;15196;3,1;24686;9;51297;2,4;459313;2,4;JK 572 5557;
20233103;MARDI   ;26/12/2023;1;25/02/2024;47;27;8;30;35;9;10;-8-27-30-35-47-;-9-10-;0;0;0;0;0;0;0;0;0;3;18;32617,8;83;419;143,8;163;727;87,6;179;899;49,7;2319;11216;19,9;4154;19378;12,8;9760;44899;10,3;12939;60460;9,3;65100;294756;6;153623;693402;4,1;0;0;0;0;48;59;88;11,5;1193;2,1;1960;3,4;6635;4,8;10860;13,6;31416;2,6;294236;2,5;RK 918 9326;
20233102;VENDREDI;22/12/2023;4;21/02/2024;14;49;34;44;6;12;4;-6-14-34-44-49-;-4-12-;0;1;55662868;2;7;113308,6;1;5;37074,9;8;54;1069,2;138;698;152,3;263;1546;72,7;373;1739;45,4;4077;20788;19;7029;33434;13,1;16767;78958;10,3;23000;112843;8,8;101747;475534;6,5;257530;1187664;4,2;0;0;4;779,9;63;27,5;140;12,3;2106;2;3470;3,3;11982;4,5;20310;12,4;50027;2,8;478856;2,6;MS 622 2438;
20233101;MARDI   ;19/12/2023;3;18/02/2024;20;43;41;45;10;12;2;-10-20-41-43-45-;-2-12-;0;0;0;1;1;529973,7;0;7;17694,7;3;13;2967,7;79;396;179,4;190;915;82,1;216;1068;49,4;2898;13514;19,5;4162;19855;14,8;10348;48406;11,3;16162;73827;8,9;67066;308486;6,7;166435;763848;4,4;1;1175,5;2;470,2;44;26,7;98;11,9;1454;2;2050;3,8;8359;4,4;14359;11,9;33120;2,9;336052;2,5;TN 553 0599;
